"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","oz_swing_percent","oz_contact_percent","out_zone_percent","meatball_swing_percent","meatball_percent","pitch_count","iz_contact_percent","in_zone_percent","edge_percent","whiff_percent","swing_percent"
"Tatis Jr., Fernando",665487,2023,635,22.2,8.3,".332",".364",31.5,11,49.3,"102.94128633","96.024566651",78.7,32.3,52.1,53,93,7.3,2335,77.2,47,43.9,30.5,54.1
"Casas, Triston",671213,2023,502,25.1,13.9,".367",".370",36.1,13.1,46.6,"102.616692288","95.686960262",66.5,22.1,56.4,51.4,80.8,7.1,2062,77.3,48.6,44.3,28.1,43.6
"Rosario, Eddie",592696,2023,516,23.6,6.6,".322",".317",35.9,9.5,35.4,"98.60055257","93.424315434",73.6,43.5,60.2,53.9,79,6.2,1908,76.5,46.1,40.9,29.8,57.4
"Schwarber, Kyle",656941,2023,720,29.9,17.5,".350",".364",34.3,16.4,48.8,"103.398490108","96.18179379",55.8,21.6,47.6,53,64.5,6.4,3068,77.1,47,42.8,31.5,37.7
"Hayes, Ke'Bryan",663647,2023,525,19.8,5.3,".324",".321",34.1,7.4,48.3,"101.67326359","95.450846324",61,30.7,58.8,50.9,73.3,7.6,1929,89.3,49.1,42,21.2,45.6
"Carroll, Corbin",682998,2023,645,19.4,8.8,".370",".344",32.7,7.6,40.9,"100.972563211","94.780604736",65.3,28,62.8,52.2,78.3,6.6,2431,84.8,47.8,43.4,21.6,45.8
"Bellinger, Cody",641355,2023,556,15.6,7.2,".370",".327",38,6.1,31.4,"97.661544057","92.874372388",67.8,31,68.4,48.7,80.1,8.4,2158,85,51.3,44.3,20.1,49.9
"Tovar, Ezequiel",678662,2023,615,27,4.1,".298",".291",36.4,8.1,36.2,"99.019446394","93.628807036",79.8,42,48.2,53.3,89,7.1,2290,80,46.7,42.3,31.3,59.7
"McKinstry, Zach",656716,2023,518,21.8,8.5,".289",".312",37.1,7.6,33.5,"97.726678239","92.940971652",68.1,27.1,59.7,50.8,75.5,7.8,2114,87.3,49.2,40.8,20.5,47.3
"Thomas, Lane",657041,2023,682,25.8,5.3,".334",".319",36.8,9.6,40.7,"100.191573957","94.319062004",61.1,27.2,55.3,51.6,74.6,7.3,2627,87.4,48.4,41.1,23,43.6
"Lindor, Francisco",596019,2023,687,19.9,9.6,".346",".346",35.8,10.4,43.9,"100.821281314","94.916417775",70.3,27.2,61.2,51.8,76.5,7.4,2741,83.9,48.2,42.9,22.8,48
"Torkelson, Spencer",679529,2023,684,25,9.8,".326",".349",33.2,14.1,50.9,"102.691928356","96.002045502",67.5,23.6,54.1,48.6,77.3,8.3,2814,82.4,51.4,40.4,24.7,46.2
"Renfroe, Hunter",592669,2023,548,22.8,8,".308",".289",29.5,6.1,39.1,"100.508778984","94.37524563",70.6,33.5,57.7,53,82.8,6.4,2107,81.9,47,42.6,26.4,50.8
"Contreras, William",661388,2023,611,20.6,10.3,".357",".335",27.1,9.4,48.7,"103.241329369","96.097846496",62.6,24.7,55.4,51.3,73.1,8,2419,79,48.7,42.7,28,43.2
"Smith, Dominic",642086,2023,586,15.5,8,".306",".320",37,6.6,30.8,"97.225088721","92.631850959",68.7,30.3,66.8,51.3,75.9,6.4,2210,86.2,48.7,42.1,19.9,49
"Paredes, Isaac",670623,2023,571,18.2,10.2,".362",".315",32.4,5.9,28.5,"96.372683866","92.205361059",66,28.3,67,53.9,71.7,6.7,2366,89.2,46.1,42.5,18.2,45.6
"Burger, Jake",669394,2023,540,27.6,5.9,".349",".359",33.4,16.7,49.6,"105.009725862","96.989580029",70.8,38.5,44.5,51.9,82.5,7,2048,78.5,48.1,42.5,34.1,54
"Stott, Bryson",681082,2023,640,15.6,6.1,".323",".309",36.4,4.7,35.2,"97.379136163","92.802445092",59.1,29.5,74.7,47.8,65.6,7.8,2665,87.8,52.2,45.1,15.3,45
"García, Adolis",666969,2023,632,27.7,10.3,".354",".366",36,16.1,49.7,"102.949539534","96.163808523",71.5,29.3,51.7,54.3,79,7.6,2562,76.5,45.7,42.2,31.6,48.6
"Kim, Ha-Seong",673490,2023,626,19.8,12,".330",".313",36.1,4.2,26.7,"96.561670433","92.283861587",55.1,20.4,72.4,46.9,62.4,8.6,2727,84.6,53.1,45.1,17.8,38.9
"Bichette, Bo",666182,2023,601,19.1,4.5,".349",".363",38.3,9.6,44.9,"101.736681894","95.184330552",77.1,36.4,62,50.4,85.6,8.4,2225,87,49.6,42.1,21.1,56.6
"Semien, Marcus",543760,2023,753,14.6,9.6,".354",".333",37.5,6.5,37,"98.08417844","93.189258191",72.9,21.4,60,50.1,85.6,7.4,2799,88.4,49.9,43,18,47.1
"Santander, Anthony",623993,2023,656,23.2,8.4,".340",".319",33,10.2,46,"101.732013378","95.319994041",66.9,34.4,67.6,55,72.2,6.4,2764,82.1,45,44.6,23.5,49
